-144.04300000 -52.385
-133.45476471 -52.9687
-122.86652941 -52.4759
-112.27829412 -51.302
-101.69005882 -49.8488
-91.10182353 -48.4334
-80.51358824 -47.4467
-69.92535294 -46.8271
-59.33711765 -45.9733
-48.74888235 -44.2224
-38.16064706 -42.1125
-27.57241176 -41.2807
-16.98417647 -41.2277
-6.39594118 -42.9941
4.19229412 -46.6336
14.78052941 -50.7504
25.36876471 -53.9406
35.95700000 -55.6934
46.54523529 -55.8586
57.13347059 -54.5534
67.72170588 -52.4163
78.30994118 -50.2563
88.89817647 -48.5518
99.48641176 -47.3554
110.07464706 -46.3981
120.66288235 -45.4122
131.25111765 -44.1194
141.83935294 -43.1207
152.42758824 -42.5733
163.01582353 -41.9684
173.60405882 -42.1726
184.19229412 -44.2623
194.78052941 -47.688
205.36876471 -50.5897
215.95700000 -52.4194
